City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
490,Mahibadhoo,MV,83.12,overcast clouds,3.7833,72.9667,Omadhoo Inn
493,Port Blair,IN,79.36,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
497,Lazaro Cardenas,MX,79.45,overcast clouds,17.9583,-102.2,quinta antigua
501,Chavakkad,IN,78.17,overcast clouds,10.5333,76.05,Rajah Island
503,Kieta,PG,84.74,overcast clouds,-6.2167,155.6333,Uruna Bay Retreat
506,Sakaiminato,JP,71.58,few clouds,35.55,133.2333,味処・民宿 まつや
507,Eyl,SO,77.77,overcast clouds,7.9803,49.8164,Amiin Hotel
509,Mpanda,TZ,71.06,broken clouds,-6.3655,31.0409,CH Hotel - Mpanda
510,Sibolga,ID,81.0,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
511,Axim,GH,74.66,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
515,Waddan,LY,72.57,clear sky,29.1614,16.139,محل الشريف محمد العايب
516,San Angelo,US,85.53,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
519,Ranong,TH,75.13,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
520,Shenjiamen,CN,76.41,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
521,Yairipok,IN,73.26,overcast clouds,24.6667,94.0667,UKHONGSHANG MANINGKAI CHINGCHA
522,Ozu,JP,74.82,broken clouds,33.5,132.55,HOTEL FOREST
523,Soe,ID,81.39,overcast clouds,-9.8607,124.284,Dena Hotel
524,Kerema,PG,80.08,overcast clouds,-7.9631,145.7785,Frena Lodge
528,Karratha,AU,73.45,clear sky,-20.7377,116.8463,ibis Styles Karratha
529,Forestville,US,81.54,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
530,Noumea,NC,75.18,few clouds,-22.2763,166.4572,Hôtel Le Lagon
534,Price,US,78.4,clear sky,39.5994,-110.8107,National 9 - Price River Inn
