City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
110,Provideniya,RU,2021-09-13 20:53:53,64.3833,-173.3,46.51,76,90,13.42
111,Cayenne,GF,2021-09-13 20:53:54,4.9333,-52.3333,86.04,79,75,3.0
112,Petropavl,KZ,2021-09-13 20:53:54,54.8753,69.1628,42.67,74,31,4.81
113,Moyale,KE,2021-09-13 20:53:54,3.5167,39.0584,70.34,52,67,3.96
114,Mar Del Plata,AR,2021-09-13 20:50:51,-38.0023,-57.5575,62.62,34,0,20.71
115,Machacamarca,BO,2021-09-13 20:53:55,-18.1667,-67.0333,65.41,16,54,12.97
116,Mahebourg,MU,2021-09-13 20:53:55,-20.4081,57.7,70.25,73,40,13.8
117,Karla,EE,2021-09-13 20:53:55,59.3723,24.9275,51.76,66,0,17.27
118,Beidao,CN,2021-09-13 20:53:56,34.5686,105.8933,64.58,75,77,6.6
119,Saint-Louis,SN,2021-09-13 20:53:56,16.3333,-15.0,90.81,43,100,18.84
120,Korla,CN,2021-09-13 20:53:56,41.7597,86.1469,68.52,42,0,9.26
121,Perbaungan,ID,2021-09-13 20:53:57,3.5679,98.956,77.11,93,100,3.76
122,Marzuq,YE,2021-09-13 20:53:57,14.4,46.4667,82.35,35,37,2.06
123,Beringovskiy,RU,2021-09-13 20:53:57,63.05,179.3167,33.03,76,94,15.39
124,Port Alfred,ZA,2021-09-13 20:53:58,-33.5906,26.891,64.72,82,96,16.8
125,Borujerd,IR,2021-09-13 20:53:58,33.8973,48.7516,67.44,22,0,1.77
126,Coquimbo,CL,2021-09-13 20:53:58,-29.9533,-71.3436,67.73,45,0,14.97
127,Puerto Ayora,EC,2021-09-13 20:53:59,-0.7393,-90.3518,76.96,89,75,8.01
128,Bentiu,SS,2021-09-13 20:53:59,9.2333,29.8333,72.41,89,82,2.33
129,Barabai,ID,2021-09-13 20:53:59,-2.5833,115.3833,73.06,97,79,0.94
130,Rome,US,2021-09-13 20:54:00,34.257,-85.1647,90.1,64,97,1.05
131,Kuryk,KZ,2021-09-13 20:54:00,43.2,51.65,76.77,28,1,15.57
132,Scarborough,GB,2021-09-13 20:54:00,54.2797,-0.4044,58.53,87,96,1.99
133,Cidreira,BR,2021-09-13 20:54:01,-30.1811,-50.2056,66.11,98,100,13.22
134,Azul,AR,2021-09-13 20:54:01,-36.777,-59.8585,57.6,61,0,14.5
135,Ulety,RU,2021-09-13 20:54:02,51.3572,112.4849,46.67,91,97,3.47
136,Bandiagara,ML,2021-09-13 20:54:02,14.3501,-3.6104,85.15,47,78,4.36
137,Mvuma,ZW,2021-09-13 20:54:02,-19.2792,30.5283,61.74,40,14,5.97
138,Ahipara,NZ,2021-09-13 20:54:03,-35.1667,173.1667,61.5,83,100,11.63
139,Kiunga,PG,2021-09-13 20:54:04,-6.1219,141.2906,72.72,100,100,0.87
140,Saint George,US,2021-09-13 20:52:23,37.1041,-113.5841,102.67,14,1,4.0
141,Tondano,ID,2021-09-13 20:54:05,1.3038,124.9112,64.49,94,99,1.34
142,Dikson,RU,2021-09-13 20:54:05,73.5069,80.5464,40.64,87,95,20.18
143,Bambous Virieux,MU,2021-09-13 20:54:05,-20.3428,57.7575,70.21,73,40,13.8
144,Nikolskoye,RU,2021-09-13 20:54:06,59.7035,30.7861,49.89,62,7,10.51
145,Kaitangata,NZ,2021-09-13 20:54:06,-46.2817,169.8464,39.63,88,85,5.44
146,Poum,NC,2021-09-13 20:54:06,-20.2333,164.0167,74.44,83,9,16.37
147,Ust-Kalmanka,RU,2021-09-13 20:54:07,52.1207,83.305,45.16,53,75,8.32
148,Katsuura,JP,2021-09-13 20:54:07,35.1333,140.3,73.51,72,100,9.44
149,San Patricio,US,2021-09-13 20:54:07,28.017,-97.5169,84.92,91,100,24.47
150,Gigmoto,PH,2021-09-13 20:54:08,13.7796,124.39,80.42,85,100,3.38
151,Adrar,MR,2021-09-13 20:54:08,20.5022,-10.0711,99.52,13,20,10.07
152,Ratnagiri,IN,2021-09-13 20:54:08,16.9833,73.3,79.3,89,100,12.82
153,Merauke,ID,2021-09-13 20:54:09,-8.4667,140.3333,77.07,90,91,11.56
154,Souillac,MU,2021-09-13 20:54:09,-20.5167,57.5167,70.36,73,40,13.8
155,Longyearbyen,SJ,2021-09-13 20:54:09,78.2186,15.6401,31.84,80,20,2.3
156,Bara,NG,2021-09-13 20:54:10,10.3744,10.7288,72.41,94,97,6.71
157,Yarmouth,US,2021-09-13 20:54:10,41.7057,-70.2286,81.18,61,1,5.01
158,Faanui,PF,2021-09-13 20:54:10,-16.4833,-151.75,78.42,75,8,18.39
159,Lima,PE,2021-09-13 20:54:11,-12.0432,-77.0282,65.89,74,90,5.75
160,Lieksa,FI,2021-09-13 20:54:11,63.3167,30.0167,43.57,83,100,23.82
161,Sao Paulo De Olivenca,BR,2021-09-13 20:54:11,-3.3783,-68.8725,84.72,69,72,1.34
162,Hamilton,US,2021-09-13 20:49:53,39.1834,-84.5333,88.65,56,40,1.99
163,Warrnambool,AU,2021-09-13 20:54:12,-38.3833,142.4833,47.8,63,100,5.7
164,Saldanha,ZA,2021-09-13 20:54:12,-33.0117,17.9442,53.65,74,0,19.69
165,Abakaliki,NG,2021-09-13 20:54:12,6.3163,8.1169,73.15,95,99,5.95
166,Caravelas,BR,2021-09-13 20:54:13,-17.7125,-39.2481,74.34,81,0,8.39
167,Rezekne,LV,2021-09-13 20:54:13,56.5,27.3167,44.91,81,74,9.46
168,Kilindoni,TZ,2021-09-13 20:54:13,-7.9139,39.6668,76.46,75,10,15.17
169,Irricana,CA,2021-09-13 20:54:14,51.3237,-113.6048,68.95,41,62,3.56
170,Sao Filipe,CV,2021-09-13 20:54:14,14.8961,-24.4956,80.31,80,87,2.04
171,Yumen,CN,2021-09-13 20:54:14,40.2833,97.2,61.0,53,100,9.17
172,Guerrero Negro,MX,2021-09-13 20:54:15,27.9769,-114.0611,84.09,54,4,13.33
173,Cabedelo,BR,2021-09-13 20:54:15,-6.9811,-34.8339,81.27,81,15,13.02
174,Xichang,CN,2021-09-13 20:54:16,27.8964,102.2634,62.58,91,60,0.45
175,San Juan De Uraba,CO,2021-09-13 20:54:16,8.7592,-76.5297,84.06,72,92,7.52
176,El Retorno,CO,2021-09-13 20:54:16,2.3302,-72.6276,84.54,67,58,1.86
177,Geraldton,AU,2021-09-13 20:54:17,-28.7667,114.6,39.61,93,0,4.61
178,Oksfjord,NO,2021-09-13 20:54:17,70.2396,22.3479,44.67,96,100,3.78
179,Victoria,HK,2021-09-13 20:52:24,22.2855,114.1577,86.32,84,97,1.01
180,Udachnyy,RU,2021-09-13 20:54:17,66.4167,112.4,41.81,88,14,4.97
181,Hami,CN,2021-09-13 20:54:18,42.8,93.45,66.72,34,17,3.27
182,Xingtai,CN,2021-09-13 20:54:18,37.0631,114.4942,70.03,95,59,6.73
183,Clyde River,CA,2021-09-13 20:54:18,70.4692,-68.5914,37.63,52,20,10.36
184,Mirandela,PT,2021-09-13 20:54:19,41.4874,-7.187,64.76,89,100,3.24
185,Madang,PG,2021-09-13 20:54:19,-5.2246,145.7966,76.89,88,100,2.08
186,Constitucion,CL,2021-09-13 20:54:19,-35.3333,-72.4167,53.51,63,12,6.62
187,Kloulklubed,PW,2021-09-13 20:54:20,7.0419,134.2556,84.69,72,98,12.21
188,Citrus Park,US,2021-09-13 20:54:20,28.0784,-82.5698,93.88,67,98,1.99
189,Huarmey,PE,2021-09-13 20:54:20,-10.0681,-78.1522,66.2,74,21,12.08
190,Iquique,CL,2021-09-13 20:53:58,-20.2208,-70.1431,60.84,76,100,5.64
191,Paracatu,BR,2021-09-13 20:54:21,-17.2222,-46.8747,84.15,17,4,4.59
192,Sioux Lookout,CA,2021-09-13 20:54:21,50.1001,-91.917,64.78,51,75,5.75
193,Hobyo,SO,2021-09-13 20:54:21,5.3505,48.5268,77.5,77,76,27.42
194,Dolores,AR,2021-09-13 20:54:22,-36.3132,-57.6792,55.78,66,5,13.58
195,San Andres,CO,2021-09-13 20:54:17,12.5847,-81.7006,77.02,94,90,2.3
196,Port Hardy,CA,2021-09-13 20:54:22,50.6996,-127.4199,53.78,87,75,3.44
197,Mitsamiouli,KM,2021-09-13 20:54:23,-11.3847,43.2844,76.91,74,1,5.99
198,Port Moresby,PG,2021-09-13 20:54:23,-9.4431,147.1797,78.22,94,75,4.61
199,Necochea,AR,2021-09-13 20:54:23,-38.5473,-58.7368,54.03,75,4,12.68
200,Tuktoyaktuk,CA,2021-09-13 20:54:23,69.4541,-133.0374,44.6,81,75,13.8
201,Port-Gentil,GA,2021-09-13 20:54:24,-0.7193,8.7815,77.59,85,100,13.78
202,Aitape,PG,2021-09-13 20:54:24,-3.1374,142.3475,76.68,88,100,4.18
203,Yulara,AU,2021-09-13 20:54:24,-25.2406,130.9889,55.24,33,34,9.22
204,Karabuk,TR,2021-09-13 20:54:25,41.2049,32.6277,58.87,84,14,0.47
205,Talara,PE,2021-09-13 20:54:25,-4.5772,-81.2719,74.16,64,0,12.66
206,Provost,CA,2021-09-13 20:54:26,52.3501,-110.2683,68.45,29,3,13.85
207,Barrow,US,2021-09-13 20:54:26,71.2906,-156.7887,37.51,82,100,12.59
208,Nuuk,GL,2021-09-13 20:54:27,64.1835,-51.7216,39.13,58,3,16.31
209,Vangaindrano,MG,2021-09-13 20:54:28,-23.35,47.6,67.95,89,60,4.27
210,Bathsheba,BB,2021-09-13 20:54:28,13.2167,-59.5167,88.41,66,20,6.91
211,Vila Velha,BR,2021-09-13 20:54:28,-20.3297,-40.2925,76.95,83,0,23.02
212,Ribeira Grande,PT,2021-09-13 20:54:29,38.5167,-28.7,72.0,100,75,9.22
213,Hualmay,PE,2021-09-13 20:54:29,-11.0964,-77.6139,64.71,74,22,12.41
214,Kahului,US,2021-09-13 20:50:42,20.8947,-156.47,86.02,56,20,24.16
215,Hithadhoo,MV,2021-09-13 20:54:30,-0.6,73.0833,83.35,75,10,10.4
216,Beyla,GN,2021-09-13 20:54:30,8.6833,-8.6333,69.17,97,87,3.36
217,Zhezkazgan,KZ,2021-09-13 20:54:31,47.8043,67.7144,54.03,26,13,7.4
218,Bjornevatn,NO,2021-09-13 20:54:32,69.6672,29.9847,41.34,81,75,16.11
219,Mao,ES,2021-09-13 20:54:33,39.8885,4.2658,77.56,78,0,8.05
220,Maltahohe,NA,2021-09-13 20:54:33,-24.8333,16.9833,64.53,25,0,13.82
221,Sembakung,ID,2021-09-13 20:51:29,3.8167,117.25,72.3,99,100,1.1
222,Payo,ID,2021-09-13 20:54:34,-3.7508,103.6372,71.76,99,100,0.98
223,Phalaborwa,ZA,2021-09-13 20:54:12,-23.943,31.1411,74.48,23,0,2.08
224,The Valley,AI,2021-09-13 20:54:34,18.217,-63.0578,84.34,79,20,14.97
225,Kokopo,PG,2021-09-13 20:54:34,-4.352,152.2633,79.57,74,70,5.48
226,Loa Janan,ID,2021-09-13 20:54:35,-0.583,117.095,73.15,98,100,1.77
227,Hovd,MN,2021-09-13 20:54:35,48.0056,91.6419,53.35,42,0,9.26
228,Banda Aceh,ID,2021-09-13 20:54:35,5.5577,95.3222,79.52,73,99,10.33
229,Madaoua,NE,2021-09-13 20:54:36,14.073,5.96,89.31,49,63,10.67
230,Pimentel,PE,2021-09-13 20:54:36,-6.8367,-79.9342,70.09,64,0,19.57
231,Sendafa,ET,2021-09-13 20:54:36,9.15,39.0333,56.55,89,70,2.3
232,Severo-Kurilsk,RU,2021-09-13 20:54:37,50.6789,156.125,49.82,90,100,42.3
233,Sulangan,PH,2021-09-13 20:54:37,11.1373,123.7228,83.3,72,100,5.75
234,Thompson,CA,2021-09-13 20:54:37,55.7435,-97.8558,50.16,93,90,4.61
235,Acarau,BR,2021-09-13 20:54:38,-2.8856,-40.12,79.38,80,9,16.69
236,Lensk,RU,2021-09-13 20:54:38,60.7253,114.9278,43.79,92,17,2.8
237,Oneonta,US,2021-09-13 20:54:38,42.4529,-75.0638,76.1,62,48,1.01
238,Havoysund,NO,2021-09-13 20:54:39,70.9963,24.6622,43.68,77,100,12.12
239,Thunder Bay,CA,2021-09-13 20:52:04,48.4001,-89.3168,67.98,72,75,12.66
240,Shache,CN,2021-09-13 20:54:39,38.4167,77.2406,69.98,28,44,6.42
241,Nalut,LY,2021-09-13 20:54:39,30.3333,10.85,80.87,38,0,14.72
242,Asau,RO,2021-09-13 20:54:40,46.4333,26.4,63.75,85,12,3.89
243,Varna,BG,2021-09-13 20:54:40,43.2167,27.9167,66.43,77,0,3.44
244,Salalah,OM,2021-09-13 20:54:40,17.0151,54.0924,78.82,85,92,5.84
245,Oussouye,SN,2021-09-13 20:54:41,12.485,-16.5469,78.98,87,100,4.07
246,Refojos De Basto,PT,2021-09-13 20:54:41,41.5132,-7.9952,66.7,94,96,4.38
247,Nehe,CN,2021-09-13 20:54:41,48.4833,124.8333,52.88,97,95,5.84
248,Saskylakh,RU,2021-09-13 20:54:42,71.9167,114.0833,38.43,85,20,3.02
249,Kavaratti,IN,2021-09-13 20:54:42,10.5669,72.642,81.19,81,100,20.56
250,Rovaniemi,FI,2021-09-13 20:54:42,66.5,25.7167,40.41,93,90,9.22
251,Vestmanna,FO,2021-09-13 20:54:43,62.1564,-7.1664,50.92,100,75,17.27
252,Moree,AU,2021-09-13 20:54:43,-29.4667,149.85,35.62,93,2,3.44
253,Dickinson,US,2021-09-13 20:54:43,29.4608,-95.0513,77.95,88,100,1.01
254,Matagami,CA,2021-09-13 20:54:44,49.7502,-77.6328,51.91,71,100,6.22
255,Akdepe,TM,2021-09-13 20:54:44,42.0551,59.3788,66.29,18,0,10.33
256,Goderich,CA,2021-09-13 20:54:44,43.7501,-81.7165,66.04,82,99,6.91
257,Port Hedland,AU,2021-09-13 20:54:45,-20.3167,118.5667,60.85,94,5,4.61
258,Taoudenni,ML,2021-09-13 20:54:45,22.6783,-3.9836,102.22,7,0,6.96
259,Broken Hill,AU,2021-09-13 20:54:45,-31.95,141.4333,40.71,56,4,4.61
260,Muhos,FI,2021-09-13 20:54:46,64.808,25.9931,44.38,97,100,13.51
261,Sokoni,TZ,2021-09-13 20:54:46,-6.4333,39.55,76.86,77,19,15.43
262,Buala,SB,2021-09-13 20:54:46,-8.145,159.5921,81.57,79,72,9.15
263,Qui Nhon,VN,2021-09-13 20:50:02,13.7667,109.2333,78.94,88,95,4.21
264,Aklavik,CA,2021-09-13 20:54:47,68.2191,-135.0107,49.03,74,96,11.65
265,Tumut,AU,2021-09-13 20:54:47,-35.3,148.2167,32.99,90,1,4.03
266,Martinsburg,US,2021-09-13 20:54:47,39.4562,-77.9639,89.62,62,82,3.0
267,Lumut,MY,2021-09-13 20:54:48,4.2323,100.6298,77.02,94,20,0.0
268,Fortuna,US,2021-09-13 20:54:48,40.5982,-124.1573,68.94,71,1,10.0
269,Quang Ngai,VN,2021-09-13 20:54:48,15.1167,108.8,76.77,93,99,2.77
270,Belmopan,BZ,2021-09-13 20:54:49,17.25,-88.7667,95.38,48,88,8.03
