City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
125,Labuhan,ID,-6.8844,112.2051,81.25,72,100,7.16,overcast clouds
126,Gurupi,BR,-11.7292,-49.0686,87.57,22,3,3.11,clear sky
127,Sisimiut,GL,66.9395,-53.6735,34.84,63,11,7.85,few clouds
128,Thinadhoo,MV,0.5333,72.9333,82.4,74,100,14.54,overcast clouds
129,Vesyegonsk,RU,58.664,37.2604,39.02,94,80,6.22,broken clouds
130,Thompson,CA,55.7435,-97.8558,55.56,94,75,3.44,broken clouds
131,Albany,US,42.6001,-73.9662,68.27,94,100,3.78,overcast clouds
132,Longyearbyen,SJ,78.2186,15.6401,32.99,83,100,7.52,overcast clouds
133,Katsuura,JP,35.1333,140.3,75.31,71,76,18.63,broken clouds
134,Harrison,US,30.4091,-89.0436,77.31,98,90,5.75,light rain
135,Shimoda,JP,34.6667,138.95,71.96,67,62,18.37,broken clouds
136,Luebo,CD,-5.35,21.4167,72.5,89,100,2.44,overcast clouds
137,Fairbanks,US,64.8378,-147.7164,58.1,47,40,9.22,scattered clouds
138,Upernavik,GL,72.7868,-56.1549,30.76,83,100,10.54,overcast clouds
139,Sechura,PE,-5.5569,-80.8222,64.22,81,5,17.98,clear sky
140,Tahoua,NE,14.8888,5.2692,85.21,55,62,8.01,broken clouds
141,Sitka,US,57.0531,-135.33,53.49,76,90,6.91,light rain
142,Ankang,CN,32.68,109.0172,71.4,84,100,1.28,overcast clouds
143,Poum,NC,-20.2333,164.0167,70.93,66,68,21.7,broken clouds
144,Regen,DE,48.9667,13.1333,63.41,100,100,3.67,light rain
145,Caravelas,BR,-17.7125,-39.2481,74.44,86,0,9.69,clear sky
146,Souillac,MU,-20.5167,57.5167,68.38,94,40,3.44,scattered clouds
147,Freeport,US,40.6576,-73.5832,80.62,87,1,10.0,clear sky
148,Norman Wells,CA,65.282,-126.8329,55.44,62,75,6.91,broken clouds
149,Marsa Matruh,EG,31.3525,27.2453,79.0,53,0,11.5,clear sky
150,Los Llanos De Aridane,ES,28.6585,-17.9182,73.15,78,75,13.8,broken clouds
151,San Cristobal,VE,7.7669,-72.225,77.18,89,5,2.57,clear sky
152,Eenhana,NA,-17.4667,16.3333,64.15,23,0,7.02,clear sky
153,Huarmey,PE,-10.0681,-78.1522,62.46,84,80,12.06,broken clouds
154,Lososina,RU,48.9975,140.3106,63.3,53,100,5.59,overcast clouds
155,Melchor De Mencos,GT,17.0686,-89.1522,93.2,55,0,0.0,clear sky
156,Salalah,OM,17.0151,54.0924,78.87,90,100,0.74,overcast clouds
157,Kavieng,PG,-2.5744,150.7967,83.05,74,99,13.0,light rain
158,Cabo San Lucas,MX,22.8909,-109.9124,89.62,73,1,3.0,clear sky
159,Gari,RU,59.4307,62.3497,43.48,97,100,7.43,overcast clouds
